Target Distance: 50, Step Size: 2
311: (x,y) = (-25.043, 23.8891)
312: (x,y) = (-26.6813, 22.742)
313: (x,y) = (-24.967, 21.7119)
314: (x,y) = (-25.0717, 19.7146)
315: (x,y) = (-24.7933, 21.6952)
316: (x,y) = (-26.793, 21.7301)
317: (x,y) = (-25.3303, 20.3661)
318: (x,y) = (-27.1123, 21.2741)
319: (x,y) = (-28.2307, 22.9321)
320: (x,y) = (-30.2295, 22.8623)
321: (x,y) = (-31.9068, 21.7731)
322: (x,y) = (-32.3227, 19.8168)
323: (x,y) = (-31.805, 17.8849)
324: (x,y) = (-33.5371, 16.8849)
325: (x,y) = (-31.5965, 16.4011)
326: (x,y) = (-30.0871, 15.089)
327: (x,y) = (-28.098, 15.298)
328: (x,y) = (-29.674, 14.0667)
329: (x,y) = (-27.6935, 14.345)
330: (x,y) = (-25.9792, 13.315)
331: (x,y) = (-23.9804, 13.2452)
332: (x,y) = (-23.1351, 11.4325)
333: (x,y) = (-22.9261, 9.4435)
334: (x,y) = (-21.4874, 8.05418)
335: (x,y) = (-21.9032, 10.0105)
336: (x,y) = (-21.154, 11.8648)
337: (x,y) = (-23.0666, 11.2801)
338: (x,y) = (-25.0654, 11.2103)
339: (x,y) = (-24.2839, 13.0513)
340: (x,y) = (-25.2229, 14.8172)
341: (x,y) = (-23.8846, 13.3309)
342: (x,y) = (-21.9621, 13.8822)
343: (x,y) = (-21.5805, 15.8454)
344: (x,y) = (-21.8934, 17.8208)
345: (x,y) = (-23.8496, 17.405)
346: (x,y) = (-21.85, 17.4399)
347: (x,y) = (-22.1973, 15.4703)
348: (x,y) = (-20.3846, 14.6251)
349: (x,y) = (-21.6702, 16.1571)
350: (x,y) = (-19.8292, 15.3757)
351: (x,y) = (-18.8292, 13.6436)
352: (x,y) = (-20.2919, 15.0076)
353: (x,y) = (-19.7743, 13.0758)
354: (x,y) = (-20.2919, 11.1439)
355: (x,y) = (-19.6739, 9.24181)
356: (x,y) = (-21.6302, 8.82599)
357: (x,y) = (-21.1803, 6.87725)
358: (x,y) = (-20.5622, 8.77936)
359: (x,y) = (-19.6233, 10.5453)
360: (x,y) = (-21.6157, 10.3709)
361: (x,y) = (-23.6145, 10.3011)
362: (x,y) = (-24.3637, 12.1555)
363: (x,y) = (-23.0781, 13.6876)
364: (x,y) = (-22.048, 15.4019)
365: (x,y) = (-20.5386, 14.0898)
366: (x,y) = (-18.8805, 15.2082)
367: (x,y) = (-20.8696, 15.4173)
368: (x,y) = (-20.6605, 17.4063)
369: (x,y) = (-21.8641, 15.809)
370: (x,y) = (-21.1149, 13.9547)
371: (x,y) = (-19.349, 14.8936)
372: (x,y) = (-17.567, 15.8016)
373: (x,y) = (-15.9089, 16.92)
374: (x,y) = (-17.8315, 17.4712)
375: (x,y) = (-15.8682, 17.8529)
376: (x,y) = (-15.8333, 19.8526)
377: (x,y) = (-17.7821, 20.3025)
378: (x,y) = (-19.6492, 19.5857)
379: (x,y) = (-20.9348, 21.1178)
380: (x,y) = (-19.5965, 22.6041)
381: (x,y) = (-19.3528, 24.5892)
382: (x,y) = (-18.3528, 22.8571)
383: (x,y) = (-16.8207, 21.5716)
384: (x,y) = (-18.7001, 20.8875)
385: (x,y) = (-19.2848, 18.9749)
386: (x,y) = (-20.4885, 17.3777)
387: (x,y) = (-18.979, 16.0655)
388: (x,y) = (-20.5551, 17.2969)
389: (x,y) = (-22.0872, 16.0113)
390: (x,y) = (-23.6844, 17.2149)
391: (x,y) = (-24.4979, 19.042)
392: (x,y) = (-22.9219, 20.2733)
393: (x,y) = (-20.9295, 20.099)
394: (x,y) = (-19.0169, 19.5143)
395: (x,y) = (-18.4321, 17.6017)
396: (x,y) = (-16.4758, 17.1858)
397: (x,y) = (-17.623, 15.5475)
398: (x,y) = (-16.3917, 13.9715)
399: (x,y) = (-15.133, 12.4172)
400: (x,y) = (-14.1634, 10.668)
401: (x,y) = (-14.6133, 12.6167)
402: (x,y) = (-14.9262, 14.5921)
403: (x,y) = (-14.2094, 12.7249)
404: (x,y) = (-14.2094, 10.7249)
405: (x,y) = (-16.15, 11.2088)
406: (x,y) = (-17.8644, 12.2389)
407: (x,y) = (-19.7554, 12.89)
408: (x,y) = (-17.7581, 12.9947)
409: (x,y) = (-19.0168, 11.4404)
410: (x,y) = (-20.3808, 9.97767)
411: (x,y) = (-21.7701, 8.53899)
412: (x,y) = (-21.7352, 10.5387)
413: (x,y) = (-22.8823, 12.177)
414: (x,y) = (-20.9505, 11.6593)
415: (x,y) = (-22.5478, 10.4557)
416: (x,y) = (-20.9095, 11.6029)
417: (x,y) = (-19.0301, 12.2869)
418: (x,y) = (-17.5914, 10.8976)
419: (x,y) = (-17.6612, 12.8964)
420: (x,y) = (-15.8068, 13.6456)
421: (x,y) = (-17.8065, 13.6107)
422: (x,y) = (-17.0898, 11.7435)
423: (x,y) = (-15.3577, 12.7435)
424: (x,y) = (-16.696, 14.2298)
425: (x,y) = (-17.5727, 16.0274)
426: (x,y) = (-17.6774, 18.0247)
427: (x,y) = (-16.2147, 19.3887)
428: (x,y) = (-17.812, 18.185)
429: (x,y) = (-19.7141, 18.8031)
430: (x,y) = (-17.7387, 18.4902)
431: (x,y) = (-17.1207, 16.5881)
432: (x,y) = (-15.121, 16.623)
433: (x,y) = (-14.213, 14.841)
434: (x,y) = (-12.6157, 16.0446)
435: (x,y) = (-13.461, 17.8572)
436: (x,y) = (-11.4637, 17.7525)
437: (x,y) = (-12.4333, 19.5018)
438: (x,y) = (-13.5805, 17.8635)
439: (x,y) = (-15.0432, 16.4995)
440: (x,y) = (-16.1616, 18.1576)
441: (x,y) = (-17.1312, 16.4083)
442: (x,y) = (-18.2496, 18.0664)
443: (x,y) = (-18.7334, 20.007)
444: (x,y) = (-20.6245, 20.6581)
445: (x,y) = (-21.9885, 19.1954)
446: (x,y) = (-23.6846, 20.2553)
447: (x,y) = (-21.7527, 19.7376)
448: (x,y) = (-23.3287, 18.5063)
449: (x,y) = (-24.5043, 16.8883)
450: (x,y) = (-26.504, 16.8534)
451: (x,y) = (-28.4845, 17.1317)
452: (x,y) = (-29.1357, 15.2407)
453: (x,y) = (-27.7974, 16.727)
454: (x,y) = (-29.7898, 16.9013)
455: (x,y) = (-28.9446, 18.7139)
456: (x,y) = (-30.6589, 17.6838)
457: (x,y) = (-32.6513, 17.8581)
458: (x,y) = (-33.1012, 15.9094)
459: (x,y) = (-34.2483, 14.2711)
460: (x,y) = (-32.3573, 13.6199)
461: (x,y) = (-30.3622, 13.7594)
462: (x,y) = (-28.5646, 14.6362)
463: (x,y) = (-26.9263, 13.489)
464: (x,y) = (-25.1287, 14.3658)
465: (x,y) = (-23.2376, 15.0169)
466: (x,y) = (-25.092, 15.7661)
467: (x,y) = (-23.1288, 16.1477)
468: (x,y) = (-22.7129, 18.104)
469: (x,y) = (-24.5256, 18.9493)
470: (x,y) = (-25.0768, 20.8718)
471: (x,y) = (-26.6529, 22.1031)
472: (x,y) = (-24.7303, 21.5519)
473: (x,y) = (-25.0432, 23.5272)
474: (x,y) = (-23.0945, 23.0773)
475: (x,y) = (-21.1382, 23.4931)
476: (x,y) = (-22.8155, 22.4039)
477: (x,y) = (-24.8155, 22.4039)
478: (x,y) = (-22.8459, 22.7512)
479: (x,y) = (-24.6279, 23.6591)
480: (x,y) = (-24.837, 25.6482)
481: (x,y) = (-26.1225, 24.1161)
482: (x,y) = (-26.4354, 26.0915)
483: (x,y) = (-25.0971, 24.6052)
484: (x,y) = (-26.9765, 23.9211)
485: (x,y) = (-26.0069, 25.6704)
486: (x,y) = (-26.5582, 27.5929)
487: (x,y) = (-24.5585, 27.6278)
488: (x,y) = (-24.8022, 25.6427)
489: (x,y) = (-26.4796, 26.732)
490: (x,y) = (-28.2616, 27.64)
491: (x,y) = (-28.0873, 29.6324)
492: (x,y) = (-26.749, 31.1187)
493: (x,y) = (-25.3103, 29.7293)
494: (x,y) = (-27.1079, 28.8526)
495: (x,y) = (-28.3935, 30.3847)
496: (x,y) = (-30.3498, 29.9689)
497: (x,y) = (-28.4704, 29.2848)
498: (x,y) = (-30.4191, 29.7347)
499: (x,y) = (-30.0033, 31.691)
500: (x,y) = (-32.003, 31.6561)
501: (x,y) = (-33.2066, 33.2534)
502: (x,y) = (-35.2018, 33.1139)
503: (x,y) = (-36.8791, 34.2032)
After 504 steps, the subject has the following location:
(x,y) = (-36.8791, 34.2032)
 or
(m,a) = (50.2984, 137.156)
Average outward distance per step = 0.0997983
Target Distance: 50, Step Size: 2
0: (x,y) = (-1.28558, -1.53209)
1: (x,y) = (0.463664, -2.50171)
2: (x,y) = (-0.381572, -0.689093)
3: (x,y) = (1.17272, 0.569548)
4: (x,y) = (1.13781, -1.43015)
5: (x,y) = (-0.251502, -2.86883)
6: (x,y) = (1.28059, -4.1544)
7: (x,y) = (3.10768, -3.34093)
8: (x,y) = (4.57039, -4.70493)
9: (x,y) = (2.80449, -3.76598)
10: (x,y) = (3.86433, -2.06989)
11: (x,y) = (3.08287, -0.228876)
12: (x,y) = (2.80452, 1.75166)
13: (x,y) = (0.902407, 2.36969)
14: (x,y) = (2.10604, 0.772423)
15: (x,y) = (0.847396, -0.781869)
16: (x,y) = (-0.241882, 0.895472)
17: (x,y) = (0.876504, -0.762603)
18: (x,y) = (1.25812, 1.20065)
19: (x,y) = (2.62212, -0.262056)
20: (x,y) = (0.720006, 0.355978)
21: (x,y) = (2.57437, -0.393235)
22: (x,y) = (3.74994, -2.01127)
23: (x,y) = (2.63156, -3.66934)
24: (x,y) = (0.661943, -4.01664)
25: (x,y) = (-1.22909, -4.66778)
26: (x,y) = (-3.13121, -4.04974)
27: (x,y) = (-1.69253, -2.66043)
28: (x,y) = (0.239324, -2.14279)
29: (x,y) = (-0.760676, -0.410738)
30: (x,y) = (0.470647, -1.98676)
31: (x,y) = (0.783516, -0.0113824)
32: (x,y) = (1.81359, -1.72572)
33: (x,y) = (0.117496, -2.78556)
34: (x,y) = (1.48149, -1.32285)
35: (x,y) = (3.46658, -1.56659)
36: (x,y) = (1.68457, -0.658606)
37: (x,y) = (0.00723042, 0.430672)
38: (x,y) = (1.70333, -0.629166)
39: (x,y) = (1.98167, -2.6097)
40: (x,y) = (1.91187, -0.610921)
41: (x,y) = (2.36178, -2.55966)
42: (x,y) = (0.66568, -1.49982)
43: (x,y) = (2.36178, -2.55966)
44: (x,y) = (3.89386, -1.27409)
45: (x,y) = (3.65013, 0.711007)
46: (x,y) = (3.963, 2.68638)
47: (x,y) = (5.47241, 1.37427)
48: (x,y) = (3.64532, 2.18774)
49: (x,y) = (1.76594, 1.5037)
50: (x,y) = (0.233849, 0.218123)
51: (x,y) = (1.98309, -0.751496)
52: (x,y) = (1.43181, -2.67402)
53: (x,y) = (2.40143, -4.42326)
54: (x,y) = (4.22852, -5.23673)
55: (x,y) = (5.73794, -3.92461)
56: (x,y) = (3.7489, -4.13367)
57: (x,y) = (4.16472, -2.17738)
58: (x,y) = (4.54634, -4.14063)
59: (x,y) = (6.18464, -5.28778)
60: (x,y) = (4.26212, -4.73651)
61: (x,y) = (4.71202, -6.68525)
62: (x,y) = (6.17473, -5.32125)
63: (x,y) = (7.37836, -6.91852)
64: (x,y) = (8.9964, -8.09409)
65: (x,y) = (7.33832, -9.21248)
66: (x,y) = (7.68562, -11.1821)
67: (x,y) = (9.52663, -11.9636)
68: (x,y) = (8.52663, -10.2315)
69: (x,y) = (7.77741, -12.0859)
70: (x,y) = (6.11934, -10.9675)
71: (x,y) = (4.91571, -12.5648)
72: (x,y) = (5.43335, -14.4966)
73: (x,y) = (5.74621, -12.5212)
74: (x,y) = (7.74347, -12.6259)
75: (x,y) = (8.52494, -10.7849)
76: (x,y) = (7.8738, -8.89386)
77: (x,y) = (9.86893, -8.75435)
78: (x,y) = (8.6653, -10.3516)
79: (x,y) = (9.28333, -8.4495)
80: (x,y) = (10.6726, -9.88818)
81: (x,y) = (12.2907, -8.71261)
82: (x,y) = (10.5586, -7.71261)
83: (x,y) = (9.58901, -5.96337)
84: (x,y) = (11.165, -7.1947)
85: (x,y) = (12.6037, -8.58401)
86: (x,y) = (13.1885, -6.6714)
87: (x,y) = (12.9794, -4.68236)
88: (x,y) = (11.5652, -3.26815)
89: (x,y) = (13.0039, -1.87883)
90: (x,y) = (13.4538, -3.82757)
91: (x,y) = (14.203, -1.9732)
92: (x,y) = (12.9174, -0.441114)
93: (x,y) = (11.6588, 1.11318)
94: (x,y) = (12.0746, 3.06947)
95: (x,y) = (13.5133, 1.68016)
96: (x,y) = (12.3096, 0.0828858)
97: (x,y) = (14.2007, 0.734022)
98: (x,y) = (16.1028, 1.35206)
99: (x,y) = (15.3536, 3.20642)
100: (x,y) = (16.8857, 4.492)
101: (x,y) = (14.8966, 4.28294)
102: (x,y) = (14.3119, 6.19555)
103: (x,y) = (12.8977, 4.78134)
104: (x,y) = (13.7744, 2.98375)
105: (x,y) = (11.9618, 3.82899)
106: (x,y) = (12.0316, 5.82777)
107: (x,y) = (10.9718, 7.52386)
108: (x,y) = (9.46233, 6.21175)
109: (x,y) = (11.1006, 5.06459)
110: (x,y) = (13.0857, 4.82085)
111: (x,y) = (11.0869, 4.75106)
112: (x,y) = (11.4342, 6.72067)
113: (x,y) = (9.53213, 7.33871)
114: (x,y) = (9.77587, 9.3238)
115: (x,y) = (9.81077, 7.3241)
116: (x,y) = (11.7234, 7.90885)
117: (x,y) = (9.76709, 7.49302)
118: (x,y) = (7.79747, 7.84032)
119: (x,y) = (8.07582, 5.85978)
120: (x,y) = (8.00602, 7.85856)
121: (x,y) = (6.17893, 8.67204)
122: (x,y) = (4.81493, 7.20933)
123: (x,y) = (6.79031, 6.89646)
124: (x,y) = (5.152, 5.74931)
125: (x,y) = (6.74927, 4.54568)
126: (x,y) = (5.51795, 2.96966)
127: (x,y) = (7.28385, 2.03071)
128: (x,y) = (8.92215, 3.17787)
129: (x,y) = (7.80377, 1.51979)
130: (x,y) = (8.4218, -0.382322)
131: (x,y) = (9.54019, 1.27575)
132: (x,y) = (8.17619, 2.73846)
133: (x,y) = (6.53788, 1.59131)
134: (x,y) = (8.26994, 2.59131)
135: (x,y) = (6.41557, 3.34052)
136: (x,y) = (5.76443, 5.23156)
137: (x,y) = (6.76443, 3.49951)
138: (x,y) = (7.38247, 1.59739)
139: (x,y) = (9.37151, 1.80645)
140: (x,y) = (9.26684, 3.80371)
141: (x,y) = (9.47589, 5.79275)
142: (x,y) = (10.6515, 4.17472)
143: (x,y) = (11.2362, 6.08733)
144: (x,y) = (13.2286, 5.91302)
145: (x,y) = (14.6673, 7.30233)
146: (x,y) = (13.3033, 5.83963)
147: (x,y) = (14.9416, 6.98678)
148: (x,y) = (16.8542, 6.40204)
149: (x,y) = (15.8241, 4.6877)
150: (x,y) = (17.5015, 5.77698)
151: (x,y) = (19.4987, 5.67231)
152: (x,y) = (21.1168, 6.84788)
153: (x,y) = (19.4394, 7.93716)
154: (x,y) = (21.3188, 7.25312)
155: (x,y) = (22.4081, 8.93046)
156: (x,y) = (23.2848, 10.728)
157: (x,y) = (24.9992, 11.7581)
158: (x,y) = (25.4491, 9.80938)
159: (x,y) = (27.1451, 8.74954)
160: (x,y) = (25.1755, 9.09684)
161: (x,y) = (24.2366, 7.33094)
162: (x,y) = (24.3413, 9.3282)
163: (x,y) = (23.6901, 11.2192)
164: (x,y) = (25.6752, 10.9755)
165: (x,y) = (24.0779, 9.77187)
166: (x,y) = (25.969, 9.12074)
167: (x,y) = (27.958, 8.91168)
168: (x,y) = (26.4037, 7.65304)
169: (x,y) = (26.4386, 9.65273)
170: (x,y) = (26.0913, 11.6223)
171: (x,y) = (27.6008, 12.9345)
172: (x,y) = (29.1102, 14.2466)
173: (x,y) = (30.8922, 15.1546)
174: (x,y) = (32.5102, 13.979)
175: (x,y) = (32.4056, 15.9763)
176: (x,y) = (31.9557, 17.925)
177: (x,y) = (31.6084, 19.8946)
178: (x,y) = (29.9503, 21.013)
179: (x,y) = (30.8892, 19.2471)
180: (x,y) = (32.7018, 20.0923)
181: (x,y) = (33.4186, 21.9595)
182: (x,y) = (31.8213, 20.7559)
183: (x,y) = (32.4393, 18.8538)
184: (x,y) = (32.0235, 16.8975)
185: (x,y) = (32.4734, 18.8462)
186: (x,y) = (32.8892, 16.8899)
187: (x,y) = (32.7149, 14.8975)
188: (x,y) = (30.7586, 14.4817)
189: (x,y) = (29.2492, 13.1696)
190: (x,y) = (27.7629, 14.5078)
191: (x,y) = (27.5192, 12.5227)
192: (x,y) = (25.8049, 11.4927)
193: (x,y) = (25.5958, 9.50362)
194: (x,y) = (25.5609, 7.50393)
195: (x,y) = (25.3172, 5.51884)
196: (x,y) = (23.3684, 5.06893)
197: (x,y) = (21.3833, 4.82519)
198: (x,y) = (22.1001, 2.95803)
199: (x,y) = (22.2396, 0.962906)
200: (x,y) = (20.3077, 0.445268)
201: (x,y) = (18.8935, 1.85948)
202: (x,y) = (19.8631, 3.60872)
203: (x,y) = (20.7084, 1.79611)
204: (x,y) = (18.9591, 2.76572)
205: (x,y) = (20.5134, 4.02437)
206: (x,y) = (20.2005, 5.99974)
207: (x,y) = (18.3334, 6.71648)
208: (x,y) = (19.0826, 4.86211)
209: (x,y) = (18.4979, 6.77472)
210: (x,y) = (17.438, 8.47082)
211: (x,y) = (17.1597, 10.4514)
212: (x,y) = (19.1597, 10.4514)
213: (x,y) = (21.1487, 10.6604)
214: (x,y) = (19.1597, 10.8695)
215: (x,y) = (19.8764, 9.0023)
216: (x,y) = (17.8791, 8.89763)
217: (x,y) = (17.3615, 6.96578)
218: (x,y) = (18.143, 5.12477)
219: (x,y) = (17.8301, 7.10015)
220: (x,y) = (16.3207, 5.78803)
221: (x,y) = (16.8045, 3.84744)
222: (x,y) = (14.9024, 4.46547)
223: (x,y) = (15.6191, 6.33263)
224: (x,y) = (15.6541, 4.33294)
225: (x,y) = (16.9396, 2.80085)
226: (x,y) = (18.8715, 3.31849)
227: (x,y) = (16.8764, 3.458)
228: (x,y) = (15.9374, 1.69211)
229: (x,y) = (15.5216, -0.26419)
230: (x,y) = (13.6305, 0.386946)
231: (x,y) = (15.6111, 0.665292)
232: (x,y) = (14.4355, 2.28333)
233: (x,y) = (12.5684, 1.56659)
234: (x,y) = (14.5635, 1.42708)
235: (x,y) = (14.8072, 3.41217)
236: (x,y) = (16.5731, 2.47323)
237: (x,y) = (17.6032, 4.18756)
238: (x,y) = (19.4303, 3.37409)
239: (x,y) = (21.3621, 2.85645)
240: (x,y) = (22.4514, 1.17911)
241: (x,y) = (23.2966, -0.633507)
242: (x,y) = (21.3213, -0.946376)
243: (x,y) = (21.3911, 1.05241)
244: (x,y) = (19.564, 0.238933)
245: (x,y) = (17.723, 1.02039)
246: (x,y) = (16.9415, -0.820615)
247: (x,y) = (18.1171, 0.797419)
248: (x,y) = (17.6672, -1.15132)
249: (x,y) = (19.3253, -0.0329351)
250: (x,y) = (18.2654, 1.66316)
251: (x,y) = (19.441, 0.0451271)
252: (x,y) = (17.5389, -0.572907)
253: (x,y) = (17.504, 1.42679)
254: (x,y) = (15.5043, 1.46169)
255: (x,y) = (17.0364, 0.176118)
256: (x,y) = (19.006, 0.523414)
257: (x,y) = (17.0108, 0.662927)
258: (x,y) = (18.9235, 0.078184)
259: (x,y) = (18.11, -1.74891)
260: (x,y) = (19.4482, -3.2352)
261: (x,y) = (18.0096, -1.84588)
262: (x,y) = (16.029, -2.12423)
263: (x,y) = (14.7435, -3.65631)
264: (x,y) = (15.0218, -1.67578)
265: (x,y) = (15.9914, 0.0734606)
266: (x,y) = (16.2352, 2.05855)
267: (x,y) = (18.2275, 1.88424)
268: (x,y) = (19.9419, 2.91432)
269: (x,y) = (20.2892, 4.88393)
270: (x,y) = (22.2782, 4.67488)
271: (x,y) = (21.1311, 3.03657)
272: (x,y) = (23.1235, 2.86226)
273: (x,y) = (25.0145, 3.5134)
274: (x,y) = (26.6528, 2.36624)
275: (x,y) = (24.6677, 2.12251)
276: (x,y) = (25.8713, 0.525234)
277: (x,y) = (24.2133, 1.64362)
278: (x,y) = (24.2482, -0.356075)
279: (x,y) = (22.2631, -0.599814)
280: (x,y) = (21.5139, 1.25455)
281: (x,y) = (23.341, 2.06803)
282: (x,y) = (23.7568, 4.02432)
283: (x,y) = (23.0727, 5.90371)
284: (x,y) = (24.559, 7.24197)
285: (x,y) = (23.0047, 8.50061)
286: (x,y) = (24.7867, 7.59263)
287: (x,y) = (26.0989, 6.08321)
288: (x,y) = (27.7762, 7.17249)
289: (x,y) = (26.0801, 8.23233)
290: (x,y) = (25.2666, 10.0594)
291: (x,y) = (24.1195, 11.6977)
292: (x,y) = (24.3285, 9.70868)
293: (x,y) = (25.8148, 11.0469)
294: (x,y) = (24.5562, 12.6012)
295: (x,y) = (25.7598, 14.1985)
296: (x,y) = (26.2775, 16.1304)
297: (x,y) = (25.1019, 14.5123)
298: (x,y) = (24.4839, 12.6102)
299: (x,y) = (22.8258, 13.7286)
300: (x,y) = (22.5474, 15.7091)
301: (x,y) = (24.5365, 15.5001)
302: (x,y) = (24.1892, 17.4697)
303: (x,y) = (22.4072, 18.3777)
304: (x,y) = (22.6855, 16.3971)
305: (x,y) = (22.9984, 18.3725)
306: (x,y) = (24.7643, 17.4336)
307: (x,y) = (26.5769, 18.2788)
308: (x,y) = (27.5465, 20.028)
309: (x,y) = (26.2879, 18.4737)
310: (x,y) = (24.522, 19.4127)
311: (x,y) = (23.4919, 17.6984)
312: (x,y) = (25.4238, 18.216)
313: (x,y) = (26.4538, 16.5017)
314: (x,y) = (28.3944, 16.9855)
315: (x,y) = (26.515, 17.6695)
316: (x,y) = (28.3822, 18.3863)
317: (x,y) = (30.0595, 17.297)
318: (x,y) = (28.7474, 15.7876)
319: (x,y) = (30.4795, 14.7876)
320: (x,y) = (31.1962, 12.9204)
321: (x,y) = (33.1852, 12.7114)
322: (x,y) = (33.9987, 10.8843)
323: (x,y) = (34.6168, 8.98216)
324: (x,y) = (35.5247, 7.20015)
325: (x,y) = (36.614, 5.52281)
326: (x,y) = (38.396, 4.61483)
327: (x,y) = (39.1452, 6.46919)
328: (x,y) = (41.1303, 6.22546)
329: (x,y) = (41.1652, 4.22576)
330: (x,y) = (39.7025, 5.58976)
331: (x,y) = (37.8754, 4.77628)
332: (x,y) = (36.0083, 4.05955)
333: (x,y) = (37.5626, 5.31819)
334: (x,y) = (35.5993, 5.69981)
335: (x,y) = (37.062, 4.33581)
336: (x,y) = (39.0608, 4.26601)
337: (x,y) = (37.9137, 2.62771)
338: (x,y) = (37.7741, 4.62283)
339: (x,y) = (36.8662, 2.84082)
340: (x,y) = (34.9751, 2.18969)
341: (x,y) = (34.7314, 4.17478)
342: (x,y) = (34.9057, 6.16717)
343: (x,y) = (34.8359, 4.16839)
344: (x,y) = (36.8249, 3.95933)
345: (x,y) = (35.2706, 2.70069)
346: (x,y) = (33.2856, 2.94443)
347: (x,y) = (34.3748, 4.62177)
348: (x,y) = (33.315, 2.92567)
349: (x,y) = (35.1694, 3.67488)
350: (x,y) = (37.1012, 4.19252)
351: (x,y) = (37.2407, 2.19739)
352: (x,y) = (38.1487, 3.97941)
353: (x,y) = (37.3352, 2.15232)
354: (x,y) = (35.8725, 0.78832)
355: (x,y) = (36.2883, -1.16798)
356: (x,y) = (37.0051, 0.699186)
357: (x,y) = (36.0355, 2.44843)
358: (x,y) = (36.7847, 0.594058)
359: (x,y) = (35.0526, 1.59406)
360: (x,y) = (36.3113, 0.0397656)
361: (x,y) = (35.4978, 1.86686)
362: (x,y) = (33.7486, 2.83648)
363: (x,y) = (31.7489, 2.87138)
364: (x,y) = (33.3872, 1.72423)
365: (x,y) = (31.8551, 0.438652)
366: (x,y) = (33.8114, 0.854476)
367: (x,y) = (35.7867, 1.16734)
368: (x,y) = (34.9733, 2.99444)
369: (x,y) = (33.5346, 4.38375)
370: (x,y) = (31.6436, 5.03489)
371: (x,y) = (33.5923, 5.48479)
372: (x,y) = (33.041, 7.40731)
373: (x,y) = (33.1805, 5.41219)
374: (x,y) = (35.1729, 5.23787)
375: (x,y) = (33.9693, 3.6406)
376: (x,y) = (32.5551, 2.22639)
377: (x,y) = (31.6161, 0.460495)
378: (x,y) = (33.4288, 1.30573)
379: (x,y) = (32.9789, -0.643009)
380: (x,y) = (34.2375, -2.1973)
381: (x,y) = (35.7469, -3.50942)
382: (x,y) = (37.059, -5.01884)
383: (x,y) = (36.8153, -7.00393)
384: (x,y) = (38.5812, -6.06499)
385: (x,y) = (38.0635, -4.13314)
386: (x,y) = (37.8892, -2.14075)
387: (x,y) = (35.9667, -1.58947)
388: (x,y) = (34.5525, -3.00368)
389: (x,y) = (32.9142, -4.15084)
390: (x,y) = (32.3295, -6.06345)
391: (x,y) = (31.7782, -7.98597)
392: (x,y) = (33.7188, -7.50213)
393: (x,y) = (34.7786, -5.80603)
394: (x,y) = (35.2625, -7.74662)
395: (x,y) = (37.2515, -7.53757)
396: (x,y) = (35.6972, -8.79621)
397: (x,y) = (37.6862, -9.00526)
398: (x,y) = (36.132, -7.74662)
399: (x,y) = (34.2909, -6.96516)
400: (x,y) = (33.2017, -8.6425)
401: (x,y) = (32.7518, -10.5912)
402: (x,y) = (34.7442, -10.7656)
403: (x,y) = (33.1681, -9.53423)
404: (x,y) = (34.8262, -8.41584)
405: (x,y) = (33.8262, -10.1479)
406: (x,y) = (34.0353, -8.15885)
407: (x,y) = (35.8329, -7.28211)
408: (x,y) = (37.7554, -7.83338)
409: (x,y) = (35.78, -7.52051)
410: (x,y) = (33.9006, -6.83647)
411: (x,y) = (32.3246, -8.0678)
412: (x,y) = (30.512, -7.22256)
413: (x,y) = (30.2682, -5.23747)
414: (x,y) = (29.519, -7.09184)
415: (x,y) = (29.4841, -5.09214)
416: (x,y) = (29.4143, -7.09092)
417: (x,y) = (29.8642, -5.14218)
418: (x,y) = (28.7171, -6.78049)
419: (x,y) = (28.099, -4.87837)
420: (x,y) = (29.7764, -5.96765)
421: (x,y) = (28.7764, -4.2356)
422: (x,y) = (26.9092, -4.95234)
423: (x,y) = (28.9016, -4.77802)
424: (x,y) = (27.1873, -3.74795)
425: (x,y) = (26.8744, -1.77257)
426: (x,y) = (25.5361, -0.286282)
427: (x,y) = (25.0185, 1.64557)
428: (x,y) = (27.0158, 1.75024)
429: (x,y) = (26.5319, 3.69083)
430: (x,y) = (28.3295, 2.81409)
431: (x,y) = (30.3049, 3.12696)
432: (x,y) = (32.2681, 3.50858)
433: (x,y) = (30.3363, 2.99094)
434: (x,y) = (28.5387, 3.86768)
435: (x,y) = (26.59, 4.31758)
436: (x,y) = (24.8079, 5.22556)
437: (x,y) = (22.8107, 5.12089)
438: (x,y) = (23.1923, 3.15764)
439: (x,y) = (25.1896, 3.26231)
440: (x,y) = (27.1893, 3.22741)
441: (x,y) = (26.4078, 1.3864)
442: (x,y) = (27.8941, 2.72466)
443: (x,y) = (29.8695, 3.03753)
444: (x,y) = (28.9927, 1.23994)
445: (x,y) = (27.53, -0.124059)
446: (x,y) = (29.5297, -0.158964)
447: (x,y) = (28.2441, 1.37313)
448: (x,y) = (29.5563, 2.88254)
449: (x,y) = (30.6161, 1.18645)
450: (x,y) = (31.7632, -0.451856)
451: (x,y) = (30.2538, -1.76397)
452: (x,y) = (28.5046, -2.73359)
453: (x,y) = (27.5966, -0.95158)
454: (x,y) = (27.1128, 0.989011)
455: (x,y) = (25.8006, -0.520408)
456: (x,y) = (24.831, -2.26965)
457: (x,y) = (26.4693, -3.4168)
458: (x,y) = (25.08, -4.85548)
459: (x,y) = (26.3387, -6.40977)
460: (x,y) = (24.5116, -7.22324)
461: (x,y) = (24.1299, -5.25999)
462: (x,y) = (26.0932, -4.87837)
